CVE,Description,Date,References,Severity,CWE
CVE-2024-26260,"The functionality for synchronization in HGiga OAKlouds' certain moudules has an OS Command Injection vulnerability, allowing remote attackers to inject system commands within specific request parameters. This enables the execution of arbitrary code on the remote server without permission.",240215,MISC:https://www.twcert.org.tw/tw/cp-132-7673-688b7-1.html ,Base score-9.8,Improper Neutralization of Special Elements used in an OS Command ('OS Command Injection)
CVE-2024-26260,"The functionality for synchronization in HGiga OAKlouds' certain moudules has an OS Command Injection vulnerability, allowing remote attackers to inject system commands within specific request parameters. This enables the execution of arbitrary code on the remote server without permission.",240215,MISC:https://www.twcert.org.tw/tw/cp-132-7673-688b7-1.html ,Base score-9.8,Improper Neutralization of Special Elements used in an OS Command ('OS Command Injection)
CVE-2024-26260,"The functionality for synchronization in HGiga OAKlouds' certain moudules has an OS Command Injection vulnerability, allowing remote attackers to inject system commands within specific request parameters. This enables the execution of arbitrary code on the remote server without permission.",240215,MISC:https://www.twcert.org.tw/tw/cp-132-7673-688b7-1.html ,Base score-9.8,Improper Neutralization of Special Elements used in an OS Command ('OS Command Injection)
CVE-2024-26260,"The functionality for synchronization in HGiga OAKlouds' certain moudules has an OS Command Injection vulnerability, allowing remote attackers to inject system commands within specific request parameters. This enables the execution of arbitrary code on the remote server without permission.",240215,MISC:https://www.twcert.org.tw/tw/cp-132-7673-688b7-1.html ,Base score-9.8,Improper Neutralization of Special Elements used in an OS Command ('OS Command Injection)
CVE-2024-26260,"The functionality for synchronization in HGiga OAKlouds' certain moudules has an OS Command Injection vulnerability, allowing remote attackers to inject system commands within specific request parameters. This enables the execution of arbitrary code on the remote server without permission.",240215,MISC:https://www.twcert.org.tw/tw/cp-132-7673-688b7-1.html ,Base score-9.8,Improper Neutralization of Special Elements used in an OS Command ('OS Command Injection)
CVE-2024-26260,"The functionality for synchronization in HGiga OAKlouds' certain moudules has an OS Command Injection vulnerability, allowing remote attackers to inject system commands within specific request parameters. This enables the execution of arbitrary code on the remote server without permission.",240215,MISC:https://www.twcert.org.tw/tw/cp-132-7673-688b7-1.html ,Base score-9.8,Improper Neutralization of Special Elements used in an OS Command ('OS Command Injection)
CVE-2024-26260,"The functionality for synchronization in HGiga OAKlouds' certain moudules has an OS Command Injection vulnerability, allowing remote attackers to inject system commands within specific request parameters. This enables the execution of arbitrary code on the remote server without permission.",240215,MISC:https://www.twcert.org.tw/tw/cp-132-7673-688b7-1.html ,Base score-9.8,Improper Neutralization of Special Elements used in an OS Command ('OS Command Injection)
CVE-2024-26260,"The functionality for synchronization in HGiga OAKlouds' certain moudules has an OS Command Injection vulnerability, allowing remote attackers to inject system commands within specific request parameters. This enables the execution of arbitrary code on the remote server without permission",240215,MISC:https://www.twcert.org.tw/tw/cp-132-7673-688b7-1.html ,Base score-9.8,Improper Neutralization of Special Elements used in an OS Command ('OS Command Injection)
CVE-2024-26260,"The functionality for synchronization in HGiga OAKlouds' certain moudules has an OS Command Injection vulnerability, allowing remote attackers to inject system commands within specific request parameters. This enables the execution of arbitrary code on the remote server without permission.",240215,MISC:https://www.twcert.org.tw/tw/cp-132-7673-688b7-1.html ,Base score-9.8,Improper Neutralization of Special Elements used in an OS Command ('OS Command Injection)
CVE-2024-26260,"The functionality for synchronization in HGiga OAKlouds' certain moudules has an OS Command Injection vulnerability, allowing remote attackers to inject system commands within specific request parameters. This enables the execution of arbitrary code on the remote server without permission.",240215,MISC:https://www.twcert.org.tw/tw/cp-132-7673-688b7-1.html ,Base score-9.8,Improper Neutralization of Special Elements used in an OS Command ('OS Command Injection)
